# STING MEP Symbols Index — general-purpose MEP plan / section / SLD annotation symbols.
# Used by MepSymbolEngine (Core/Symbols/MepSymbolEngine.cs) alongside the ISO 6412 spool
# catalogue (Data/Fabrication/STING_ISO_SYMBOLS_INDEX.csv). Each row maps a short
# symbol_code to the .rfa family produced by SymbolLibraryCreator from the matching JSON
# definition in Data/Symbols/.
#
# Columns:
#   symbol_code    — short identifier matching SymbolDefinition.Id in JSON
#   family_filename — .rfa produced by SymbolLibraryCreator (placed in _BIM_COORD/Families/Symbols/)
#   category        — discipline bucket (Mechanical / Electrical / Plumbing / FireProtection / Lighting)
#   standard        — authoring standard (CIBSE | IEC60617 | IEEE315 | BS7671 | ISO14617 | BS6465)
#   view_types      — comma-separated: Plan | Section | SLD | Fabrication | All
#   color_scheme    — preferred scheme: Corporate | BS1710 | CIBSE | IEC60617 | ASHRAE | NBS
#   paper_size_mm   — target paper-space symbol size at any view scale
#   description     — human-readable label
#
# NOTE: ISO 6412 spool symbols (piping/duct elbow, tee, valve, etc.) are NOT listed here;
# they are loaded from Data/Fabrication/STING_ISO_SYMBOLS_INDEX.csv by the same engine.
# This file covers plan-annotation and schematic symbols only.
symbol_code,family_filename,category,standard,view_types,color_scheme,paper_size_mm,description
FP_LANDING_VALVE,FP_LANDING_VALVE.rfa,FireProtection,BS5839,Plan,Corporate,5.0,Dry/Wet Riser Landing Valve
FP_HOSE_REEL,FP_HOSE_REEL.rfa,FireProtection,BS5839,Plan,Corporate,5.0,Fire Hose Reel
FP_FIRE_EXTINGUISHER,FP_FIRE_EXTINGUISHER.rfa,FireProtection,BS5839,Plan,Corporate,4.0,Fire Extinguisher
FP_SPRINKLER_CONTROL_SET,FP_SPRINKLER_CONTROL_SET.rfa,FireProtection,BS5839,Plan|Section,Corporate,8.0,Sprinkler Control Valve Set
FP_ALARM_VALVE,FP_ALARM_VALVE.rfa,FireProtection,BS5839,Plan|Section,Corporate,6.0,Alarm Valve / Alarm Check Valve
FP_PREACTION_VALVE,FP_PREACTION_VALVE.rfa,FireProtection,BS5839,Plan|Section,Corporate,6.0,Pre-Action / Deluge Valve
FP_FIRE_PUMP,FP_FIRE_PUMP.rfa,FireProtection,BS5839,Plan|Section,Corporate,8.0,Fire Pump Set
#
# ── Lighting ─────────────────────────────────────────────────────────────────
LTG_DOWNLIGHT_RND,LTG_DOWNLIGHT_RND.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Recessed Downlight (Round)
LTG_DOWNLIGHT_SQ,LTG_DOWNLIGHT_SQ.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Recessed Downlight (Square)
LTG_SURFACE_RND,LTG_SURFACE_RND.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Surface Mounted Luminaire (Round)
LTG_SURFACE_SQ,LTG_SURFACE_SQ.rfa,Electrical,IEC60617-11,Plan,Corporate,6.0,Surface Mounted Luminaire (Square)
LTG_PENDANT,LTG_PENDANT.rfa,Electrical,IEC60617-11,Plan,Corporate,4.0,Pendant Luminaire
LTG_TRACK_LINEAR,LTG_TRACK_LINEAR.rfa,Electrical,IEC60617-11,Plan,Corporate,6.0,Track Lighting
LTG_FLUORO_1T,LTG_FLUORO_1T.rfa,Electrical,IEC60617-11,Plan,Corporate,8.0,Fluorescent Single Tube (Batten)
LTG_FLUORO_2T,LTG_FLUORO_2T.rfa,Electrical,IEC60617-11,Plan,Corporate,8.0,Fluorescent Twin Tube
LTG_LED_LINEAR,LTG_LED_LINEAR.rfa,Electrical,IEC60617-11,Plan,Corporate,8.0,LED Linear Strip
LTG_EMERGENCY_MAINTAINED,LTG_EMERGENCY_MAINTAINED.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Emergency Luminaire (Maintained)
LTG_EMERGENCY_NON_MAINTAINED,LTG_EMERGENCY_NON_MAINTAINED.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Emergency Luminaire (Non-Maintained)
LTG_EXIT_SIGN,LTG_EXIT_SIGN.rfa,Electrical,ISO7010,Plan,Corporate,6.0,Exit Sign / Running Man
LTG_WALL_WASHER,LTG_WALL_WASHER.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Wall Washer Luminaire
LTG_EXTERIOR_BOLLARD,LTG_EXTERIOR_BOLLARD.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Exterior Bollard Light
LTG_EXTERIOR_COLUMN,LTG_EXTERIOR_COLUMN.rfa,Electrical,IEC60617-11,Plan,Corporate,5.0,Exterior Column / Street Light
LTG_SWITCH_1G,LTG_SWITCH_1G.rfa,Electrical,IEC60617-11,Plan,Corporate,4.0,1-Gang Light Switch
LTG_SWITCH_2G,LTG_SWITCH_2G.rfa,Electrical,IEC60617-11,Plan,Corporate,4.0,2-Gang Light Switch
LTG_SWITCH_2WAY,LTG_SWITCH_2WAY.rfa,Electrical,IEC60617-11,Plan,Corporate,4.0,2-Way Switch
LTG_DIMMER,LTG_DIMMER.rfa,Electrical,IEC60617-11,Plan,Corporate,4.0,Dimmer Switch
LTG_OCCUPANCY_SENSOR,LTG_OCCUPANCY_SENSOR.rfa,Electrical,IEC60617-11,Plan,Corporate,4.0,Occupancy / PIR Sensor
LTG_EMERGENCY_TEST,LTG_EMERGENCY_TEST.rfa,Electrical,BS5266,Plan,Corporate,4.0,Emergency Test Key Switch
LTG_LUMINAIRE_CONTROL,LTG_LUMINAIRE_CONTROL.rfa,Electrical,DALI,Plan,Corporate,4.0,DALI Luminaire Controller
#
# ── Electrical power devices (plan annotation) ───────────────────────────────
ELEC_SOCKET_SINGLE,ELEC_SOCKET_SINGLE.rfa,Electrical,BS7671,Plan,Corporate,4.0,Single Socket Outlet (13A BS 1363)
ELEC_SOCKET_DOUBLE,ELEC_SOCKET_DOUBLE.rfa,Electrical,BS7671,Plan,Corporate,4.0,Double Socket Outlet (13A)
ELEC_SOCKET_UNSWITCHED,ELEC_SOCKET_UNSWITCHED.rfa,Electrical,BS7671,Plan,Corporate,4.0,Unswitched Socket Outlet
ELEC_FCU,ELEC_FCU.rfa,Electrical,BS7671,Plan,Corporate,4.0,Fused Connection Unit (FCU)
ELEC_EV_CHARGER,ELEC_EV_CHARGER.rfa,Electrical,BS7671,Plan,Corporate,5.0,EV Charging Point
ELEC_SOCKET_FLOOR,ELEC_SOCKET_FLOOR.rfa,Electrical,BS7671,Plan,Corporate,4.0,Floor Socket Outlet
ELEC_SOCKET_WEATHERPROOF,ELEC_SOCKET_WEATHERPROOF.rfa,Electrical,BS7671,Plan,Corporate,4.0,Weatherproof Socket Outlet
ELEC_SOCKET_ISOLATOR,ELEC_SOCKET_ISOLATOR.rfa,Electrical,BS7671,Plan,Corporate,4.0,Cooker Isolator Switch
ELEC_CONSUMER_UNIT,ELEC_CONSUMER_UNIT.rfa,Electrical,BS7671,Plan,Corporate,8.0,Consumer Unit / Distribution Board
ELEC_PANEL_BOARD,ELEC_PANEL_BOARD.rfa,Electrical,BS7671,Plan,Corporate,8.0,Panel Board / DB (large)
ELEC_MOTOR_STARTER,ELEC_MOTOR_STARTER.rfa,Electrical,BS7671,Plan,Corporate,6.0,Motor Starter / MCC Starter
ELEC_ISOLATOR_SWITCH,ELEC_ISOLATOR_SWITCH.rfa,Electrical,BS7671,Plan,Corporate,4.0,Local Isolator Switch
ELEC_DATA_SOCKET,ELEC_DATA_SOCKET.rfa,Electrical,BS7671,Plan,Corporate,4.0,Data Socket Outlet (RJ45)
ELEC_TELEPHONE_SOCKET,ELEC_TELEPHONE_SOCKET.rfa,Electrical,BS7671,Plan,Corporate,4.0,Telephone Socket
ELEC_ADDRESSABLE_INTERFACE,ELEC_ADDRESSABLE_INTERFACE.rfa,Electrical,BS7671,Plan,Corporate,4.0,Addressable Interface Module
ELEC_ISOLATOR_MAIN,ELEC_ISOLATOR_MAIN.rfa,Electrical,BS7671,Plan,Corporate,6.0,Main Isolator / Switch Disconnector
ELEC_TRANSFORMER,ELEC_TRANSFORMER.rfa,Electrical,BS7671,Plan|Section,Corporate,8.0,Transformer (step-down/isolation)
ELEC_GENERATOR,ELEC_GENERATOR.rfa,Electrical,BS7671,Plan|Section,Corporate,8.0,Emergency Generator
ELEC_UPS,ELEC_UPS.rfa,Electrical,BS7671,Plan,Corporate,8.0,UPS Unit
ELEC_ATS,ELEC_ATS.rfa,Electrical,BS7671,Plan,Corporate,6.0,Automatic Transfer Switch (ATS)
ELEC_CONTAINMENT_TRAY,ELEC_CONTAINMENT_TRAY.rfa,Electrical,BS7671,Plan,Corporate,4.0,Cable Tray (plan symbol)
ELEC_CONTAINMENT_LADDER,ELEC_CONTAINMENT_LADDER.rfa,Electrical,BS7671,Plan,Corporate,4.0,Cable Ladder (plan symbol)
ELEC_CONTAINMENT_TRUNKING,ELEC_CONTAINMENT_TRUNKING.rfa,Electrical,BS7671,Plan,Corporate,4.0,Cable Trunking (plan symbol)
ELEC_CONDUIT_POINT,ELEC_CONDUIT_POINT.rfa,Electrical,BS7671,Plan,Corporate,3.0,Conduit Junction Point
#
# ── SLD symbols — IEC 60617 (single-line diagrams) ───────────────────────────
SLD_MCB,SLD_MCB.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Miniature Circuit Breaker (MCB)
SLD_MCCB,SLD_MCCB.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Moulded Case Circuit Breaker (MCCB)
SLD_ACB,SLD_ACB.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Air Circuit Breaker (ACB)
SLD_FUSE,SLD_FUSE.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Fuse (IEC)
SLD_FUSED_SWITCH,SLD_FUSED_SWITCH.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Fused Switch Disconnector
SLD_ISOLATOR,SLD_ISOLATOR.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Isolator / Disconnector
SLD_CONTACTOR,SLD_CONTACTOR.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Contactor
SLD_SOFT_STARTER,SLD_SOFT_STARTER.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,Soft Starter
SLD_VSD,SLD_VSD.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,Variable Speed Drive (VFD)
SLD_RCD,SLD_RCD.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Residual Current Device (RCD)
SLD_RCBO,SLD_RCBO.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,RCBO (MCB + RCD)
SLD_SPD,SLD_SPD.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Surge Protective Device (SPD)
SLD_XFMR_2W,SLD_XFMR_2W.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Transformer 2-Winding
SLD_XFMR_3W,SLD_XFMR_3W.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Transformer 3-Winding
SLD_AUTOXFMR,SLD_AUTOXFMR.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Auto-Transformer
SLD_AMMETER,SLD_AMMETER.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Ammeter
SLD_VOLTMETER,SLD_VOLTMETER.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Voltmeter
SLD_WATTMETER,SLD_WATTMETER.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Wattmeter
SLD_KWH_METER,SLD_KWH_METER.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,kWh Energy Meter
SLD_CT,SLD_CT.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Current Transformer (CT)
SLD_VT,SLD_VT.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Voltage Transformer (VT)
SLD_BUSBAR,SLD_BUSBAR.rfa,Electrical,IEC60617,SLD,IEC60617,8.0,Busbar
SLD_BUS_SECTION,SLD_BUS_SECTION.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Bus Section / Bus Coupler
SLD_EARTH,SLD_EARTH.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Earth / Ground Connection
SLD_NEUTRAL,SLD_NEUTRAL.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Neutral Bar
SLD_EARTH_BAR,SLD_EARTH_BAR.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,Earth Bar / Earth Busbar
SLD_GENERATOR,SLD_GENERATOR.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Generator
SLD_UPS,SLD_UPS.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Uninterruptible Power Supply (UPS)
SLD_MOTOR,SLD_MOTOR.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,Motor (M)
SLD_MOTOR_OVERCURRENT,SLD_MOTOR_OVERCURRENT.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,Motor with Overcurrent Protection
SLD_CAPACITOR_BANK,SLD_CAPACITOR_BANK.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,Power Factor Correction Capacitor Bank
SLD_PFC_PANEL,SLD_PFC_PANEL.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Power Factor Correction Panel
SLD_DISTRIBUTION_BOARD,SLD_DISTRIBUTION_BOARD.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Distribution Board (DB) box
