# MATERIAL_LOOKUP.csv v1.1
# Material variation lookup tables.
# Format: Category, TypeKey, Property, Value, Unit, Description
# TypeKey matches element parameter values (e.g., BLE_BRICK_BOND_TYPE_TXT).
#
# CONSUMED vs REFERENCE-ONLY (R2-2):
#   CONSUMED by the BOQ engine:
#     - DENSITY_KG_M3 / CARBON_KG_PER_M3  → MaterialLookupCsv.GetDensity/GetCarbon
#       (drive cost-mass + per-m³ embodied-carbon takeoff in BOQCostManager)
#     - STEEL_KG_PER_M3 (rebar)           → AutoRebarEstimator via ResolveAvgRatio
#   REFERENCE-ONLY (NOT auto-takeoff inputs — there is no FormulaEngine.Lookup in
#   the codebase and no cement/sand/aggregate line-item takeoff):
#     - CEMENT_BAGS_PER_M3, SAND_RATIO, AGGREGATE_RATIO, WATER_*  → manual QS use.
#       Correcting these (e.g. cement content to BS 8500) improves the table's
#       accuracy for a quantity surveyor reading it by hand, but changes NO
#       delivered BOQ quantity. The main concrete m³ line is unaffected.
#
# CONCRETE GRADES (BS 8500 / UNBS)
# TypeKey sourced from: BLE_STRUCT_CONCRETE_GRADE_TXT
Category,TypeKey,Property,Value,Unit,Description
CONCRETE,C20,SAND_RATIO,0.45,,Fine aggregate volume fraction
CONCRETE,C20,WATER_PER_BAG,27,L,Water per 50kg bag (W/C 0.54)
CONCRETE,C20,STEEL_KG_PER_M3,75,kg/m³,Typical reinforcement (moderate)
CONCRETE,C20,CARBON_KG_PER_M3,270,kgCO₂/m³,ICE v3.0 RC ~0.113 kg/kg × 2400
CONCRETE,C20,DENSITY_KG_M3,2400,kg/m³,Reinforced concrete
CONCRETE,C25,CEMENT_BAGS_PER_M3,7.0,bags/m³,Cement 350 kg/m³ (C20-25 BS 8500)
CONCRETE,C25,AGGREGATE_RATIO,0.88,,Coarse aggregate volume fraction
CONCRETE,C25,SAND_RATIO,0.44,,Fine aggregate volume fraction
CONCRETE,C25,WATER_PER_BAG,25,L,Water per 50kg bag (W/C 0.50)
CONCRETE,C25,STEEL_KG_PER_M3,90,kg/m³,Typical reinforcement (standard)
CONCRETE,C25,CARBON_KG_PER_M3,290,kgCO₂/m³,ICE v3.0 C20/25 RC 0.12 kg/kg × 2400
CONCRETE,C25,DENSITY_KG_M3,2400,kg/m³,Reinforced concrete
CONCRETE,C30,CEMENT_BAGS_PER_M3,7.2,bags/m³,Cement 360 kg/m³ (C25-30 BS 8500)
CONCRETE,C30,AGGREGATE_RATIO,0.85,,Coarse aggregate volume fraction
CONCRETE,C30,SAND_RATIO,0.42,,Fine aggregate volume fraction
CONCRETE,C30,WATER_PER_BAG,23,L,Water per 50kg bag (W/C 0.46)
CONCRETE,C30,STEEL_KG_PER_M3,110,kg/m³,Typical reinforcement (moderate-heavy)
CONCRETE,C30,CARBON_KG_PER_M3,300,kgCO₂/m³,ICE v3.0 C25/30 RC 0.122 kg/kg × 2450
CONCRETE,C30,DENSITY_KG_M3,2450,kg/m³,Reinforced concrete
CONCRETE,C35,CEMENT_BAGS_PER_M3,7.6,bags/m³,Cement 380 kg/m³ (C28-35 BS 8500)
CONCRETE,C35,AGGREGATE_RATIO,0.866,,MAT-2 [Med] lifted 0.83→0.866 so cement-vol+SAND+AGG≈1.54
CONCRETE,C35,SAND_RATIO,0.41,,Fine aggregate volume fraction
CONCRETE,C35,WATER_PER_BAG,22,L,Water per 50kg bag (W/C 0.44)
CONCRETE,C35,STEEL_KG_PER_M3,130,kg/m³,Typical reinforcement (heavy)
CONCRETE,C35,CARBON_KG_PER_M3,340,kgCO₂/m³,ICE v3.0 C28/35 RC 0.139 kg/kg × 2450
CONCRETE,C35,DENSITY_KG_M3,2450,kg/m³,Reinforced concrete
CONCRETE,C40,CEMENT_BAGS_PER_M3,8.2,bags/m³,Cement 410 kg/m³ (C32-40 BS 8500)
CONCRETE,C40,AGGREGATE_RATIO,0.855,,MAT-2 [Med] lifted 0.80→0.855 so dry-vol≈1.54
CONCRETE,C40,SAND_RATIO,0.40,,Fine aggregate volume fraction
CONCRETE,C40,WATER_PER_BAG,20,L,Water per 50kg bag (W/C 0.40)
CONCRETE,C40,STEEL_KG_PER_M3,150,kg/m³,Typical reinforcement (very heavy)
CONCRETE,C40,CARBON_KG_PER_M3,392,kgCO₂/m³,ICE v3.0 C32/40 RC 0.16 kg/kg × 2450
CONCRETE,C40,DENSITY_KG_M3,2450,kg/m³,Reinforced concrete
CONCRETE,C45,CEMENT_BAGS_PER_M3,8.8,bags/m³,Cement 440 kg/m³ (C40-50 BS 8500)
CONCRETE,C45,AGGREGATE_RATIO,0.844,,MAT-2 [Med] lifted 0.78→0.844 so dry-vol≈1.54
CONCRETE,C45,SAND_RATIO,0.39,,Fine aggregate volume fraction
CONCRETE,C45,WATER_PER_BAG,19,L,Water per 50kg bag (W/C 0.38)
CONCRETE,C45,STEEL_KG_PER_M3,170,kg/m³,Typical reinforcement (very heavy)
CONCRETE,C45,CARBON_KG_PER_M3,420,kgCO₂/m³,ICE v3.0 C40/50 RC 0.168 kg/kg × 2500
CONCRETE,C45,DENSITY_KG_M3,2500,kg/m³,Heavily reinforced concrete
CONCRETE,DEFAULT,CEMENT_BAGS_PER_M3,7.2,bags/m³,Default C25-30 mix (360 kg per m3 BS 8500)
CONCRETE,DEFAULT,AGGREGATE_RATIO,0.88,,Default coarse aggregate
CONCRETE,DEFAULT,SAND_RATIO,0.44,,Default fine aggregate
CONCRETE,DEFAULT,WATER_PER_BAG,25,L,Default W/C 0.50
CONCRETE,DEFAULT,STEEL_KG_PER_M3,90,kg/m³,Default reinforcement
CONCRETE,DEFAULT,CARBON_KG_PER_M3,300,kgCO₂/m³,ICE v3.0 C25/30 RC default
CONCRETE,DEFAULT,DENSITY_KG_M3,2450,kg/m³,Reinforced concrete default
#
# MAT-2 [Low/Med] — NOMINAL VOLUME MIX per grade (cement:sand:aggregate). Value
# is a ratio string (reference for hand mass/volume batching). Only C15 carried
# one before. Designed-mix grades (C30+) are normally design-mix in practice; the
# nominal mix is the field-batching equivalent.
CONCRETE,C15,NOMINAL_MIX,1:3:6,,Lean structural / 1:3:6 nominal
CONCRETE,C20,NOMINAL_MIX,1:2:4,,Standard 1:2:4 nominal
CONCRETE,C25,NOMINAL_MIX,1:1.5:3,,1:1.5:3 nominal
CONCRETE,C30,NOMINAL_MIX,1:1.5:3,,1:1.5:3 nominal
CONCRETE,C35,NOMINAL_MIX,1:1.5:3,,1:1.5:3 nominal (design mix preferred)
CONCRETE,C40,NOMINAL_MIX,1:1:2,,1:1:2 nominal (design mix preferred)
CONCRETE,C45,NOMINAL_MIX,1:1:2,,1:1:2 nominal (design mix preferred)
CONCRETE,DEFAULT,NOMINAL_MIX,1:1.5:3,,Default nominal mix
#
# MAT-2 [Low/Med] — LEAN / BLINDING CONCRETE (unreinforced; no STEEL band).
CONCRETE,C10,CEMENT_BAGS_PER_M3,3.6,bags/m³,Lean concrete 180 kg/m³ (1:3:6 blinding)
CONCRETE,C10,NOMINAL_MIX,1:3:6,,Blinding / mass fill
CONCRETE,C10,SAND_RATIO,0.47,,Fine aggregate fraction
CONCRETE,C10,AGGREGATE_RATIO,0.94,,Coarse aggregate fraction
CONCRETE,C10,STEEL_KG_PER_M3,0,kg/m³,Unreinforced blinding
CONCRETE,C10,CARBON_KG_PER_M3,200,kgCO₂/m³,ICE v3.0 mass concrete ~0.087 kg/kg × 2300
CONCRETE,C10,DENSITY_KG_M3,2300,kg/m³,Mass/plain concrete
CONCRETE,C7.5,CEMENT_BAGS_PER_M3,2.9,bags/m³,Very lean 145 kg/m³ (1:4:8 blinding)
CONCRETE,C7.5,NOMINAL_MIX,1:4:8,,Blinding only
CONCRETE,C7.5,SAND_RATIO,0.48,,Fine aggregate fraction
CONCRETE,C7.5,AGGREGATE_RATIO,0.96,,Coarse aggregate fraction
CONCRETE,C7.5,STEEL_KG_PER_M3,0,kg/m³,Unreinforced blinding
CONCRETE,C7.5,CARBON_KG_PER_M3,180,kgCO₂/m³,ICE v3.0 mass concrete ~0.080 kg/kg × 2250
CONCRETE,C7.5,DENSITY_KG_M3,2250,kg/m³,Mass/plain concrete
#
# REINFORCEMENT LAP LENGTHS (BS 8666)
# TypeKey sourced from: BLE_STRUCT_CONCRETE_GRADE_TXT
REBAR_LAP,C20,TENSION_LAP_FACTOR,50,,Bar diameters for tension lap (C20)
REBAR_LAP,C25,TENSION_LAP_FACTOR,45,,Bar diameters for tension lap (C25)
REBAR_LAP,C30,TENSION_LAP_FACTOR,40,,Bar diameters for tension lap (C30)
REBAR_LAP,C35,TENSION_LAP_FACTOR,38,,Bar diameters for tension lap (C35)
REBAR_LAP,C40,TENSION_LAP_FACTOR,35,,Bar diameters for tension lap (C40)
REBAR_LAP,C45,TENSION_LAP_FACTOR,33,,Bar diameters for tension lap (C45)
REBAR_LAP,DEFAULT,TENSION_LAP_FACTOR,40,,Default: C30 tension lap
REBAR_LAP,C20,COMPRESSION_LAP_FACTOR,32,,Bar diameters for compression lap (C20)
REBAR_LAP,C25,COMPRESSION_LAP_FACTOR,29,,Bar diameters for compression lap (C25)
REBAR_LAP,C30,COMPRESSION_LAP_FACTOR,26,,Bar diameters for compression lap (C30)
REBAR_LAP,C35,COMPRESSION_LAP_FACTOR,25,,Bar diameters for compression lap (C35)
REBAR_LAP,C40,COMPRESSION_LAP_FACTOR,23,,Bar diameters for compression lap (C40)
REBAR_LAP,DEFAULT,COMPRESSION_LAP_FACTOR,26,,Default compression lap
# BOQ-accuracy audit F8: reinforcement density is driven by ELEMENT TYPE, not
# concrete grade. These are the accepted kg-steel/m³-concrete bands (civilsir /
# kairalitmt / OneClickLCA). TypeKey sourced from element category / structural
# usage. The grade-keyed CONCRETE STEEL_KG_PER_M3 rows above remain a fallback
# proxy for when element type is unknown.
REBAR_ELEMENT,SLAB,STEEL_KG_PER_M3,80,kg/m³,Suspended slab reinforcement (60-120 ~80)
REBAR_ELEMENT,BEAM,STEEL_KG_PER_M3,120,kg/m³,Beam reinforcement (100-160 ~120)
REBAR_ELEMENT,COLUMN,STEEL_KG_PER_M3,160,kg/m³,Column reinforcement (120-220 ~160)
REBAR_ELEMENT,FOOTING,STEEL_KG_PER_M3,40,kg/m³,Pad/strip footing reinforcement (40-80 ~40)
REBAR_ELEMENT,RAFT,STEEL_KG_PER_M3,90,kg/m³,Raft foundation reinforcement
REBAR_ELEMENT,WALL,STEEL_KG_PER_M3,70,kg/m³,RC wall / retaining wall reinforcement
REBAR_ELEMENT,STAIR,STEEL_KG_PER_M3,100,kg/m³,RC stair reinforcement
REBAR_ELEMENT,DEFAULT,STEEL_KG_PER_M3,90,kg/m³,Default when element type unknown (~C25/30 proxy)
#
# BRICK BOND TYPES
# TypeKey sourced from: BLE_BRICK_BOND_TYPE_TXT
BRICK_BOND,STRETCHER,BRICKS_PER_M2,60,bricks/m²,Standard stretcher/running bond (half-brick wall)
BRICK_BOND,STRETCHER,MORTAR_RATIO,0.025,,Mortar volume per m² (10mm joints)
BRICK_BOND,STRETCHER,WASTE_PCT,5,%,Cutting waste percentage
BRICK_BOND,HEADER,BRICKS_PER_M2,120,bricks/m²,Header bond (all headers one-brick wall)
BRICK_BOND,HEADER,MORTAR_RATIO,0.055,,MAT-2 [Med] one-brick wall: 0.030→0.055 m³/m² (count doubled, mortar must too)
BRICK_BOND,HEADER,WASTE_PCT,5,%,Cutting waste
BRICK_BOND,ENGLISH,BRICKS_PER_M2,89,bricks/m²,English bond (alternating stretcher/header courses)
BRICK_BOND,ENGLISH,MORTAR_RATIO,0.050,,MAT-2 [Med] one-brick wall: 0.035→0.050 m³/m²
BRICK_BOND,ENGLISH,WASTE_PCT,7,%,More cutting waste (closers needed)
BRICK_BOND,FLEMISH,BRICKS_PER_M2,79,bricks/m²,Flemish bond (alternating in same course)
BRICK_BOND,FLEMISH,MORTAR_RATIO,0.052,,MAT-2 [Med] one-brick wall: 0.032→0.052 m³/m²
BRICK_BOND,FLEMISH,WASTE_PCT,8,%,Most cutting waste
BRICK_BOND,ENGLISH_GARDEN_WALL,BRICKS_PER_M2,74,bricks/m²,English garden wall bond (3 stretcher to 1 header course)
BRICK_BOND,ENGLISH_GARDEN_WALL,MORTAR_RATIO,0.048,,MAT-2 [Med] one-brick wall: 0.028→0.048 m³/m²
BRICK_BOND,ENGLISH_GARDEN_WALL,WASTE_PCT,6,%,Moderate cutting waste
BRICK_BOND,STACK,BRICKS_PER_M2,60,bricks/m²,Stack bond (aligned vertical joints)
BRICK_BOND,STACK,MORTAR_RATIO,0.025,,Mortar volume per m²
BRICK_BOND,STACK,WASTE_PCT,3,%,Minimal cutting
BRICK_BOND,DEFAULT,BRICKS_PER_M2,60,bricks/m²,Default: stretcher bond
BRICK_BOND,DEFAULT,MORTAR_RATIO,0.025,,Default mortar ratio
BRICK_BOND,DEFAULT,WASTE_PCT,5,%,Default waste
#
# BLOCK SIZES
# TypeKey sourced from: BLE_BLOCK_SIZE_TXT (format: "LxH" e.g. "440x215")
BLOCK,440x215,BLOCKS_PER_M2,10.0,blocks/m²,Standard 440×215mm block (all thicknesses)
BLOCK,440x190,BLOCKS_PER_M2,11.9,blocks/m²,440×190mm block
BLOCK,390x190,BLOCKS_PER_M2,13.5,blocks/m²,390×190mm block (common in East Africa)
BLOCK,400x200,BLOCKS_PER_M2,12.5,blocks/m²,400×200mm block
BLOCK,450x225,BLOCKS_PER_M2,9.9,blocks/m²,450×225mm block
BLOCK,DEFAULT,BLOCKS_PER_M2,12.5,blocks/m²,Default: 400×200mm
BLOCK,440x215,MORTAR_VOLUME_FACTOR,0.01,m³/m²,Mortar volume per m² wall area
BLOCK,390x190,MORTAR_VOLUME_FACTOR,0.012,m³/m²,Mortar volume per m²
BLOCK,400x200,MORTAR_VOLUME_FACTOR,0.011,m³/m²,Mortar volume per m²
BLOCK,DEFAULT,MORTAR_VOLUME_FACTOR,0.011,m³/m²,Default mortar factor
#
# MORTAR MIX RATIOS
# TypeKey sourced from: BLE_MORTAR_MIX_TXT
# MAT-2 [High] — SAND_RATIO corrected. The old values omitted the mortar
# dry/bulking factor, so a labelled 1:6 behaved like ~1:4.1 (sand under-ordered
# 20-30%). Basis: bag = 50 kg, cement loose density 1440 kg/m³ → cement
# volume/bag = 0.034722 m³. For a 1:N mix the sand:cement volume ratio is N:1, so
# SAND_RATIO (m³ sand per m³ mortar) = N × CEMENT_BAGS_PER_M3 × 0.034722. Cement
# bags are unchanged (they were correct). Each mix now delivers its true cement:sand.
MORTAR,1:3,CEMENT_BAGS_PER_M3,12,bags/m³,Strong mortar (retaining walls below DPC)
MORTAR,1:3,SAND_RATIO,1.25,,Sand m³/m³ = 3 × 12 × 0.034722 (true 1:3 cement:sand)
MORTAR,1:4,CEMENT_BAGS_PER_M3,9,bags/m³,Medium-strong mortar (exposed external walls)
MORTAR,1:4,SAND_RATIO,1.25,,Sand m³/m³ = 4 × 9 × 0.034722 (true 1:4)
MORTAR,1:5,CEMENT_BAGS_PER_M3,7.5,bags/m³,General purpose mortar (standard brickwork)
MORTAR,1:5,SAND_RATIO,1.30,,Sand m³/m³ = 5 × 7.5 × 0.034722 (true 1:5)
MORTAR,1:6,CEMENT_BAGS_PER_M3,6,bags/m³,Weak mortar (internal non-loadbearing walls)
MORTAR,1:6,SAND_RATIO,1.25,,Sand m³/m³ = 6 × 6 × 0.034722 (true 1:6, was 0.86)
MORTAR,1:8,CEMENT_BAGS_PER_M3,4.5,bags/m³,Very weak mortar (temporary or infill)
MORTAR,1:8,SAND_RATIO,1.25,,Sand m³/m³ = 8 × 4.5 × 0.034722 (true 1:8)
MORTAR,DEFAULT,CEMENT_BAGS_PER_M3,6,bags/m³,Default: 1:6 mix
MORTAR,DEFAULT,SAND_RATIO,1.25,,Default sand fraction (true 1:6)
#
# CEMENT:LIME:SAND MORTARS (BS EN 998-2 / BS 5628 designations (i)-(iv))
# TypeKey sourced from: BLE_MORTAR_MIX_TXT. LIME_RATIO + SAND_RATIO are volume
# parts per 1 part cement. Lime improves workability/water retention; sand parts
# rise as the mix weakens. CEMENT_BAGS recomputed at 0.034722 m³/bag for the
# cement fraction of a ~1.25 m³ dry yield.
MORTAR_CL,M_I,CEMENT_BAGS_PER_M3,12,bags/m³,Designation (i) 1:0.25:3 — strongest, parapets/retaining
MORTAR_CL,M_I,LIME_RATIO,0.25,,Lime parts per 1 cement
MORTAR_CL,M_I,SAND_RATIO,1.10,,Sand m³/m³ (3-3.75 parts)
MORTAR_CL,M_II,CEMENT_BAGS_PER_M3,8,bags/m³,Designation (ii) 1:0.5:4.5 — external above DPC
MORTAR_CL,M_II,LIME_RATIO,0.5,,Lime parts per 1 cement
MORTAR_CL,M_II,SAND_RATIO,1.25,,Sand m³/m³ (4-4.5 parts)
MORTAR_CL,M_III,CEMENT_BAGS_PER_M3,6,bags/m³,Designation (iii) 1:1:6 — general internal/external
MORTAR_CL,M_III,LIME_RATIO,1.0,,Lime parts per 1 cement
MORTAR_CL,M_III,SAND_RATIO,1.25,,Sand m³/m³ (5-6 parts)
MORTAR_CL,M_IV,CEMENT_BAGS_PER_M3,4,bags/m³,Designation (iv) 1:2:9 — internal/sheltered
MORTAR_CL,M_IV,LIME_RATIO,2.0,,Lime parts per 1 cement
MORTAR_CL,M_IV,SAND_RATIO,1.25,,Sand m³/m³ (8-9 parts)
MORTAR_CL,LIME,CEMENT_BAGS_PER_M3,0,bags/m³,Pure lime:sand mortar (non-hydraulic/NHL) 1:3 binder:sand
MORTAR_CL,LIME,LIME_RATIO,1.0,,Binder = lime only (no OPC)
MORTAR_CL,LIME,SAND_RATIO,1.25,,Sand m³/m³ at 1:3 lime:sand
MORTAR_CL,DEFAULT,CEMENT_BAGS_PER_M3,6,bags/m³,Default designation (iii) 1:1:6
MORTAR_CL,DEFAULT,LIME_RATIO,1.0,,Default lime parts
MORTAR_CL,DEFAULT,SAND_RATIO,1.25,,Default sand fraction
#
# PAINT TYPES
# TypeKey sourced from: BLE_PAINT_TYPE_TXT
PAINT,PRIMER,COVERAGE_M2_PER_L,10,m²/L,Primer/undercoat coverage
PAINT,EMULSION,COVERAGE_M2_PER_L,9,m²/L,Emulsion (vinyl silk/matt) coverage
PAINT,GLOSS,COVERAGE_M2_PER_L,14,m²/L,Oil-based gloss/satin coverage
PAINT,EGGSHELL,COVERAGE_M2_PER_L,12,m²/L,Eggshell/semi-gloss coverage
PAINT,TEXTURED,COVERAGE_M2_PER_L,6,m²/L,Textured/masonry paint coverage
PAINT,ANTI_FUNGAL,COVERAGE_M2_PER_L,8,m²/L,Anti-fungal coating coverage
PAINT,FIRE_RETARDANT,COVERAGE_M2_PER_L,7,m²/L,Intumescent fire-retardant paint
PAINT,EPOXY,COVERAGE_M2_PER_L,5,m²/L,Epoxy floor/wall coating
PAINT,DEFAULT,COVERAGE_M2_PER_L,10,m²/L,Default: primer/standard coverage
#
# TILE SIZES (waste varies by size and pattern)
# TypeKey sourced from: BLE_TILE_SIZE_TXT
TILE,MOSAIC,WASTE_PCT,20,%,Mosaic tiles (<100mm) - high waste
TILE,MOSAIC,ADHESIVE_KG_PER_M2,4.0,kg/m²,Thin-bed adhesive
TILE,SMALL,WASTE_PCT,12,%,Small tiles (100-299mm) - moderate waste
TILE,SMALL,ADHESIVE_KG_PER_M2,4.5,kg/m²,Standard adhesive
TILE,MEDIUM,WASTE_PCT,10,%,Medium tiles (300-599mm) - standard waste
TILE,MEDIUM,ADHESIVE_KG_PER_M2,5.5,kg/m²,Standard adhesive
TILE,LARGE,WASTE_PCT,8,%,Large tiles (600mm+) - low waste but heavy
TILE,LARGE,ADHESIVE_KG_PER_M2,7.0,kg/m²,Thick-bed adhesive for large format
TILE,DEFAULT,WASTE_PCT,10,%,Default: medium tile waste
TILE,DEFAULT,ADHESIVE_KG_PER_M2,5.5,kg/m²,Default adhesive
#
# TILE GROUT (by joint width)
# TypeKey sourced from: BLE_TILE_JOINT_WIDTH_MM (as string)
GROUT,2,GROUT_KG_PER_M2,0.3,kg/m²,2mm joint width
GROUT,3,GROUT_KG_PER_M2,0.5,kg/m²,3mm joint width
GROUT,5,GROUT_KG_PER_M2,0.8,kg/m²,5mm joint width
GROUT,8,GROUT_KG_PER_M2,1.1,kg/m²,8mm joint width
GROUT,10,GROUT_KG_PER_M2,1.3,kg/m²,10mm joint width
GROUT,DEFAULT,GROUT_KG_PER_M2,0.8,kg/m²,Default: 5mm joints
#
# PLASTER TYPES
# TypeKey sourced from: BLE_PLASTER_TYPE_TXT
# MAT-2 [High] — plaster/render now carry a cement:sand MIX so cement + sand are
# derivable. CEMENT_BAGS_PER_M3 / SAND_RATIO mirror the corrected MORTAR table
# (1:4 internal/render = 9 bags + 1.25 m³ sand per m³ of plaster). Cement+sand for
# a wall = plaster volume (face area × THICKNESS × (1+WASTE)) × these per-m³ values.
# LIME plaster is lime:sand (no OPC) → CEMENT_BAGS 0, LIME binder.
PLASTER,THIN_COAT,THICKNESS_M,0.008,m,Thin coat render (8mm)
PLASTER,THIN_COAT,WASTE_PCT,15,%,Thin coat waste
PLASTER,THIN_COAT,MIX_CEMENT_BAGS_PER_M3,9,bags/m³,Render 1:4 cement:sand
PLASTER,THIN_COAT,MIX_SAND_RATIO,1.25,,Sand m³/m³ (1:4)
PLASTER,STANDARD,THICKNESS_M,0.013,m,Standard 2-coat plaster (13mm)
PLASTER,STANDARD,WASTE_PCT,20,%,Standard waste
PLASTER,STANDARD,MIX_CEMENT_BAGS_PER_M3,9,bags/m³,Internal plaster 1:4 cement:sand
PLASTER,STANDARD,MIX_SAND_RATIO,1.25,,Sand m³/m³ (1:4)
PLASTER,THICK,THICKNESS_M,0.020,m,Thick coat / rough cast (20mm)
PLASTER,THICK,WASTE_PCT,25,%,Thick coat waste
PLASTER,THICK,MIX_CEMENT_BAGS_PER_M3,9,bags/m³,Rough cast 1:4 cement:sand
PLASTER,THICK,MIX_SAND_RATIO,1.25,,Sand m³/m³ (1:4)
PLASTER,LIME,THICKNESS_M,0.015,m,Lime plaster (15mm)
PLASTER,LIME,WASTE_PCT,20,%,Lime waste
PLASTER,LIME,MIX_CEMENT_BAGS_PER_M3,0,bags/m³,Lime:sand 1:3 (no OPC)
PLASTER,LIME,MIX_LIME_RATIO,1.0,,Binder = lime only
PLASTER,LIME,MIX_SAND_RATIO,1.25,,Sand m³/m³ (1:3 lime:sand)
PLASTER,DEFAULT,THICKNESS_M,0.015,m,Default: 15mm
PLASTER,DEFAULT,WASTE_PCT,25,%,Default waste
PLASTER,DEFAULT,MIX_CEMENT_BAGS_PER_M3,9,bags/m³,Default 1:4 cement:sand
PLASTER,DEFAULT,MIX_SAND_RATIO,1.25,,Default sand m³/m³ (1:4)
#
# SCREED (floor screed) — MAT-2 [High] new section. Cement:sand mix + thickness.
# TypeKey sourced from: BLE_SCREED_TYPE_TXT. Cement+sand for a floor = area ×
# THICKNESS_M × (1+WASTE) × MIX_* per-m³ values.
SCREED,STANDARD,THICKNESS_M,0.050,m,Standard floor screed (50mm)
SCREED,STANDARD,WASTE_PCT,10,%,Screed waste
SCREED,STANDARD,MIX_CEMENT_BAGS_PER_M3,9,bags/m³,1:4 cement:sand screed
SCREED,STANDARD,MIX_SAND_RATIO,1.25,,Sand m³/m³ (1:4)
SCREED,HEAVY_DUTY,THICKNESS_M,0.075,m,Heavy-duty screed (75mm)
SCREED,HEAVY_DUTY,WASTE_PCT,10,%,Screed waste
SCREED,HEAVY_DUTY,MIX_CEMENT_BAGS_PER_M3,12,bags/m³,1:3 cement:sand screed
SCREED,HEAVY_DUTY,MIX_SAND_RATIO,1.25,,Sand m³/m³ (1:3)
SCREED,DEFAULT,THICKNESS_M,0.050,m,Default: 50mm 1:4
SCREED,DEFAULT,WASTE_PCT,10,%,Default screed waste
SCREED,DEFAULT,MIX_CEMENT_BAGS_PER_M3,9,bags/m³,Default 1:4 cement:sand
SCREED,DEFAULT,MIX_SAND_RATIO,1.25,,Default sand m³/m³ (1:4)
#
# ROOFING SHEET PROFILES
# TypeKey sourced from: BLE_ROOF_SHEET_PROFILE_TXT
ROOF_SHEET,CORRUGATED,COVERAGE_M2,2.7,m²/sheet,Corrugated iron/aluminium
ROOF_SHEET,CORRUGATED,FASTENERS_PER_M2,8,,Standard fastener density
ROOF_SHEET,BOX_PROFILE,COVERAGE_M2,3.2,m²/sheet,Box profile steel
ROOF_SHEET,BOX_PROFILE,FASTENERS_PER_M2,6,,Box profile fastener density
ROOF_SHEET,STANDING_SEAM,COVERAGE_M2,3.5,m²/sheet,Standing seam panels
ROOF_SHEET,STANDING_SEAM,FASTENERS_PER_M2,4,,Concealed fixing
ROOF_SHEET,FIBRE_CEMENT,COVERAGE_M2,1.8,m²/sheet,Fibre cement sheets
ROOF_SHEET,FIBRE_CEMENT,FASTENERS_PER_M2,10,,More fixings needed
ROOF_SHEET,CLAY_TILE,COVERAGE_M2,0.04,m²/tile,Clay roof tile (per tile)
ROOF_SHEET,CLAY_TILE,FASTENERS_PER_M2,0,,Nailed every other course
ROOF_SHEET,CONCRETE_TILE,COVERAGE_M2,0.03,m²/tile,Concrete roof tile (per tile)
ROOF_SHEET,CONCRETE_TILE,FASTENERS_PER_M2,0,,Nailed/clipped
ROOF_SHEET,DEFAULT,COVERAGE_M2,3.0,m²/sheet,Default: standard metal sheet
ROOF_SHEET,DEFAULT,FASTENERS_PER_M2,8,,Default fastener density
#
# PURLIN SPACING (by load class)
