ListName,Value,Description
SpauldingTier,SEMI,Contacts mucous membrane
SpauldingTier,NON-CRITICAL,Contacts intact skin
LigatureRisk,VERY-HIGH,Very high risk (seclusion / observation)
LigatureRisk,HIGH,High risk (psy-bed / en-suite)
LigatureRisk,MED,Medium risk
LigatureRisk,LOW,Low risk
HEPAGrade,H13,EN 1822 H13 99.95%
HEPAGrade,H14,EN 1822 H14 99.995%
HEPAGrade,U15,EN 1822 U15 99.9995%
HEPAGrade,U16,EN 1822 U16 99.99995%
TMVType,TMV2,TMV2 — domestic / non-augmented
TMVType,TMV3,TMV3 — augmented care
TMVType,NONE,No TMV
NurseCallType,STD,Standard call
NurseCallType,EMG,Emergency call
NurseCallType,ASSAULT,Assault alarm
NurseCallType,CARDIAC,Cardiac arrest call
PrivacyLevel,OPEN,Open / multi-bed
PrivacyLevel,SEMI,Semi-private
PrivacyLevel,SINGLE,Single occupancy
PrivacyLevel,SECURE,Secure / locked
