# v3.1 | 20260226 | BIM Template v2.2 schedule field remap - A8 stair renames
Old_Schedule_Field,Consolidated_Parameter,Action,Deprecated_Date,Deprecation_Owner,Sunset_Date,Migration_Notes
SYS_COLOR_B_INT,COLOR_B_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_B_INT
SYS_COLOR_G_INT,COLOR_G_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_G_INT
SYS_COLOR_R_INT,COLOR_R_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_R_INT
TS_USAGE_TXT,USAGE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to USAGE_TXT
ASS_MNG,REMOVED,REMOVED (group reference or artifact),2026-02-25,BIM_Manager,2026-08-25,Group/artifact removed
COM_DAT,REMOVED,REMOVED (group reference or artifact),2026-02-25,BIM_Manager,2026-08-25,Group/artifact removed
PLM_DRN,REMOVED,REMOVED (group reference or artifact),2026-02-25,BIM_Manager,2026-08-25,Group/artifact removed
TEXT,REMOVED,REMOVED (group reference or artifact),2026-02-25,BIM_Manager,2026-08-25,Group/artifact removed
TPL_TRACKING,REMOVED,REMOVED (group reference or artifact),2026-02-25,BIM_Manager,2026-08-25,Group/artifact removed
HVC_STAIR_NOSING_TYPE_TXT,BLE_STAIR_NOSING_TYPE_TXT,REMAPPED,2026-02-26,Template_Maintenance,2026-12-31,A8 stair param rename: HVC_STAIR_NOSING_TYPE_TXT -> BLE_STAIR_NOSING_TYPE_TXT (MECHANICAL->ARCHITECTURAL)
HVC_STAIR_BALUSTRADE_TYPE_TXT,BLE_STAIR_BALUSTRADE_TYPE_TXT,REMAPPED,2026-02-26,Template_Maintenance,2026-12-31,A8 stair param rename: HVC_STAIR_BALUSTRADE_TYPE_TXT -> BLE_STAIR_BALUSTRADE_TYPE_TXT (MECHANICAL->ARCHITECTURAL)
HVC_STAIR_TREAD_FINISH_TXT,BLE_STAIR_TREAD_FINISH_TXT,REMAPPED,2026-02-26,Template_Maintenance,2026-12-31,A8 stair param rename: HVC_STAIR_TREAD_FINISH_TXT -> BLE_STAIR_TREAD_FINISH_TXT (MECHANICAL->ARCHITECTURAL)
HVC_STAIR_MAT_TXT,BLE_STAIR_MAT_TXT,REMAPPED,2026-02-26,Template_Maintenance,2026-12-31,A8 stair param rename: HVC_STAIR_MAT_TXT -> BLE_STAIR_MAT_TXT (MECHANICAL->ARCHITECTURAL)
HVC_STAIR_HANDRAIL_MAT_TXT,BLE_STAIR_HANDRAIL_MAT_TXT,REMAPPED,2026-02-26,Template_Maintenance,2026-12-31,A8 stair param rename: HVC_STAIR_HANDRAIL_MAT_TXT -> BLE_STAIR_HANDRAIL_MAT_TXT (MECHANICAL->ARCHITECTURAL)
# v5.6 2026-03-17 — 66-entry name alignment
BLE_CEILING_MATERIAL_TXT,BLE_CEILING_MAT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_CEILING_TYPE_TXT,BLE_CEILING_TYPE_CLASSIFICATION_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_DOOR_CLEAR_WIDTH_MM,BLE_DOOR_WIDTH_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_DOOR_HARDWARE_TXT,BLE_DOOR_HARDWARE_SPECIFICATION_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_DOOR_MATERIAL_TXT,BLE_DOOR_MAT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_DOOR_OPERATION_TXT,BLE_DOOR_OPERATION_TYPE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_FINISH_EXT_TXT,BLE_WALL_EXTERIOR_FINISH_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_FINISH_TOP_TXT,BLE_WALL_INTERIOR_FINISH_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_FLOOR_AREA_SQ_M,BLE_FLR_AREA_SQ_M,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_FLOOR_CONSTRUCTION_METHOD_TXT,BLE_FLR_STRUCTURAL_SYSTEM_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_FLOOR_MATERIAL_TXT,BLE_FLR_FINISH_MAT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_FLOOR_THICKNESS_MM,BLE_FLR_THICKNESS_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_FLOOR_TYPE_TXT,BLE_FLR_TYPE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_MATERIAL_TYPE_TXT,BLE_MAT_ELEM_TYPE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOF_DRAINAGE_TXT,BLE_ROOF_PLM_DRN_SYSTEM_TYPE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOF_MATERIAL_TXT,BLE_ROOF_COVERING_MAT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOF_WATERPROOF_TXT,BLE_ROOF_WATERPROOFING_SYSTEM_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOM_AREA_SQ_M,ASS_ROOM_AREA_SQ_M,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOM_CEILING_FINISH_TXT,BLE_CEILING_FINISH_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOM_DEPARTMENT_TXT,ASS_DEPARTMENT_ASSIGNMENT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOM_FLOOR_FINISH_TXT,BLE_FLR_FINISH_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOM_LIGHTING_LUX,ASS_DESIGN_LTG_LVL_LUX_NR,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_ROOM_WALL_FINISH_TXT,BLE_WALL_FINISH_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_STAIR_HANDRAIL_TXT,BLE_STAIR_HANDRAIL_MAT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_STAIR_NOSING_TXT,BLE_STAIR_NOSING_TYPE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_STAIR_RISER_MM,BLE_STAIR_RISE_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_STAIR_TREAD_MATERIAL_TXT,BLE_STAIR_TREAD_FINISH_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WALL_AREA_SQ_M,BLE_ELE_AREA_SQ_M,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WALL_CONSTRUCTION_TXT,BLE_WALL_CST_METHOD_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WALL_MATERIAL_TXT,BLE_WALL_PRIMARY_WALL_MAT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WALL_TYPE_TXT,BLE_WALL_TYPE_CLASSIFICATION_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WIN_FRAME_MATERIAL_TXT,BLE_WINDOW_FRAME_MAT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WIN_GLAZING_TYPE_TXT,BLE_WINDOW_GLAZING_TYPE_SINGLE_DOUBLE_TRIPLE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WIN_HEIGHT_MM,BLE_WINDOW_HEIGHT_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WIN_OPENING_TYPE_TXT,BLE_WINDOW_OPERATION_TYPE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WIN_TYPE_TXT,BLE_WINDOW_TYPE_CLASSIFICATION_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WIN_VENT_AREA_SQ_M,BLE_WINDOW_AREA_SQ_M,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
BLE_WIN_WIDTH_MM,BLE_WINDOW_WIDTH_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
ELC_CDT_FILL_RATIO,ELC_CDT_CBL_FILL_PCT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
ELC_CONN_RATING_A,ELC_CKT_BRK_RATING_A,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
ELC_TAG_7_PARA_CIRC_TXT,ELC_TAG_7_PARA_CIRCUIT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
ELC_WIRE_TYPE_TXT,ELC_CBL_INS_TYPE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
GEN_PROPERTY_AREA_SQM,RGL_PLOT_AREA_SQ_M,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
GEN_TAG_7_PARA_EQUIP_TXT,ASS_TAG_7_PARA_EQUIPMENT_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
GEN_TAG_7_PARA_SITE_TXT,ARCH_TAG_7_PARA_SITE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
INS_THICKNESS_MM,PLM_INS_THICKNESS_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
MAT_CLASS_TXT,MAT_CATEGORY,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
PER_ACOUSTIC_NRC_RATING,BLE_CEILING_NOISE_REDUCTION_COEFFICIENT_NRC_NR,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
PER_ACOUSTIC_STC_RATING,BLE_WALL_SOUND_TRANSMISSION_CLASS_RATING_NR,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
PER_EMBODIED_CARBON_KG_CO2_M2,PER_SUST_EMBODIED_CARBON_KG,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
PER_SOLAR_G_VALUE,BLE_WINDOW_SOLAR_HEAT_GAIN_COEFFICIENT_NR,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_GRADE_TXT,BLE_STRUCT_STEEL_GRADE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_REBAR_COVER_MM,CST_S_REI_COVER_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_REBAR_GRADE_TXT,CST_S_REI_GRADE_TXT,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_REBAR_LAP_LENGTH_MM,CST_S_REI_OVERLAP_LENGTH_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_REBAR_SPACING_MM,CST_S_REI_SPACING_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_SLAB_THICKNESS_MM,BLE_STRUCT_SLAB_THICKNESS_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_WALL_THICKNESS_MM,BLE_WALL_THICKNESS_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
STR_WEIGHT_KG,CST_S_REI_WEIGHT_KG,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
WARN_LTG_DESIGN_ILLUMINANCE_LUX,WARN_LTG_ILLUMINANCE,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
WARN_PLM_PPE_FLW_LPS_PIPES,WARN_PLM_PPE_FLW_LPS_PIPES__HOT_WATE,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
WARN_STR_BEAM_DEFLECTION_BEAMS,WARN_STR_BEAM_DEFLECTION,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
WARN_STR_BEAM_SPAN_DEPTH_BEAMS,WARN_STR_BEAM_SPAN_DEPTH,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
WARN_STR_REBAR_COVER_MM,WARN_STR_RBR_COVER_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
WARN_STR_REBAR_LAP_LENGTH_MM,WARN_STR_RBR_LAP_LENGTH_MM,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
WARN_STR_SLAB_DEFLECTION,WARN_STR_BEAM_DEFLECTION,REMAPPED,2026-03-17,BIM_Manager,2026-09-17,v5.6 name alignment
