param,group,source,categories,desc
ASS_CST_UNIT_RATE_NR,2,asset-universal,<ALL>,Currency-neutral unit rate  -  Currency carried by ASS_CST_CURRENCY_TXT [Phase 184]
ASS_CST_UNIT_RATE_NR_DISP_TXT,2,asset-universal,<ALL>,Currency-neutral unit rate  -  Currency carried by ASS_CST_CURRENCY_TXT — TEXT display mirror for tag labels
ASS_CUT_COUNT_NR,1,asset-universal,<ALL>,Number of cut operations required to fabricate the assembly
ASS_DEPARTMENT_ASSIGNMENT_TXT,1,asset-universal,<ALL>,Ass Department Assignment Txt [ISO 19650-3:2020]
ASS_DESCRIPTION_TXT,1,universal,<ALL>,Ass Description Txt [ISO 19650-3:2020]
ASS_DESIGN_LTG_LVL_LUX_NR,1,asset-universal,<ALL>,Ass Design Ltg Lvl Lux Nr [ISO 19650-3:2020]
ASS_DESIGN_OCCUPANCY_INT,1,asset-universal,<ALL>,Ass Design Occupancy Int [ISO 19650-3:2020]
ASS_DESIGN_OPTION_TXT,1,asset-universal,<ALL>,Design option name for element
ASS_DISCIPLINES_TXT,1,asset-universal,<ALL>,Project discipline codes
ASS_DISCIPLINE_COD_TXT,1,universal,<ALL>,Ass Discipline Cod Txt [ISO 19650-3:2020]
ASS_DISPLAY_TXT,17,universal,<ALL>,Display mode tag text (short-form tag)
ASS_DRIVE_TXT,4,asset-universal,<ALL>,Asset drive type/mechanism [ISO 19650-2:2018]
ASS_DUR_UNIT_TXT,1,asset-universal,<ALL>,Expected life duration unit [COBie V2.4]
ASS_ELEVATION_M,1,asset-universal,<ALL>,Element elevation in metres from project base
ASS_EQUIPMENT_TAG_TXT,1,universal,<ALL>,Ass Equipment Tag Txt [ISO 19650-3:2020]
ASS_EXPECTED_LIFE_YEARS_YRS,1,asset-universal,<ALL>,Ass Expected Life Years Yrs [ISO 19650-3:2020]
ASS_FAB_LOC_TXT,1,asset-universal,<ALL>,Fabrication location (SHOP / FIELD / VENDOR)
ASS_FAB_NOTES_TXT,1,asset-universal,<ALL>,Free-text fabrication notes consumed by ShopDrawingComposer
ASS_FAB_SEQ_NR,1,asset-universal,<ALL>,Fabrication sequence number within the fabrication package
ASS_FAB_STATUS_TXT,1,asset-universal,<ALL>,Fabrication status (NOT_STARTED / CUT / WELDED / INSPECTED / SHIPPED / INSTALLED)
ASS_FAMILY_NAME_TXT,1,asset-universal,<ALL>,Revit family name
ASS_FEATURES_TXT,1,asset-universal,<ALL>,Notable features description [COBie V2.4]
ASS_FINISH_TXT,1,asset-universal,<ALL>,Asset surface finish [COBie V2.4]
ASS_FITTING_COUNT_NR,1,asset-universal,<ALL>,Total number of inline fittings in the assembly
ASS_FLANGE_COUNT_NR,1,asset-universal,<ALL>,Total number of flanged connections in the assembly
ASS_FLOW_RATE_TXT,5,asset-universal,<ALL>,Flow rate for MEP elements
ASS_FUNC_TXT,1,universal,<ALL>,Spare parameter 1 for ASS_MNG group
ASS_GRADE_TXT,1,asset-universal,<ALL>,Asset material grade [COBie V2.4]
ASS_GRID_DIST_NR,1,asset-universal,<ALL>,Distance to nearest grid intersection
ASS_GRID_REF_TXT,1,asset-universal,<ALL>,Ass Grid Ref [ISO 19650]
ASS_GRID_X_ID_INT,1,asset-universal,<ALL>,Nearest X grid element ID
ASS_GRID_Y_ID_INT,1,asset-universal,<ALL>,Nearest Y grid element ID
ASS_HOST_ELEMENT_TXT,1,asset-universal,<ALL>,Host element tag (wall/floor/ceiling hosting this element)
ASS_HOST_TYPE_TXT,1,asset-universal,<ALL>,Host element type name
ASS_ID_TXT,1,universal,<ALL>,Ass Id Txt [ISO 19650-3:2020]
ASS_INHERIT_STATUS_TXT,1,asset-universal,<ALL>,Token inheritance status (PROXIMITY_OK/PROXIMITY_FAIL/TYPE_INHERIT/MANUAL)
ASS_INSPECT_FREQ_TXT,4,asset-universal,<ALL>,Asset inspection frequency [ISO 19650-2:2018]
ASS_INSTALLATION_DATE_TXT,1,asset-universal,<ALL>,Planned or actual installation date [ISO 19650-3:2020]
ASS_INSTALL_DATE_TXT,1,asset-universal,<ALL>,DEPRECATED -- use ASS_INSTALLATION_DATE_TXT. ISO 8601 date when assembly was installed on site.
ASS_INST_DATE_TXT,1,asset-universal,<ALL>,Ass Inst Date Txt [ISO 19650-3:2020]
ASS_INST_DETAIL_NUM_TXT,1,asset-universal,<ALL>,Inst Detail Txt [ISO 19650-1:2018]
ASS_INST_DETAIL_TXT,1,asset-universal,<ALL>,Inst Detail Txt [ISO 19650-1:2018]
ASS_INSULATION_AREA_M2,1,asset-universal,<ALL>,External insulation surface area in square metres
ASS_ITEM_CODE_TXT,1,asset-universal,<ALL>,Procurement item code for asset ordering
ASS_KEYNOTE_TXT,1,asset-universal,<ALL>,Keynote reference
ASS_LAST_PARA_CONTAINER_TXT,1,asset-universal,<ALL>,Cache of the last TAG7 paragraph container written [Tagging]
ASS_LAST_TOKEN_HASH_TXT,1,asset-universal,<ALL>,Ass Last Token Hash [ISO 19650]
ASS_LENGTH_TOTAL_MM,1,asset-universal,<ALL>,Total linear length of the assembly in millimetres
ASS_LOCAL_SERVICE_AVAILABLE_TXT,1,asset-universal,<ALL>,Ass Local Service Available Txt [ISO 19650-3:2020]
ASS_LOC_SOURCE_TXT,1,universal,<ALL>,LOC detection source (Room/Project/Manual)
ASS_LOC_TXT,1,universal,<ALL>,Ass Loc Txt [ISO 19650-3:2020]
ASS_LOD_VERIFIED_TXT,1,asset-universal,<ALL>,Ass Lod Verified [milestone id passed at LOD]
ASS_LVL_COD_TXT,1,universal,<ALL>,Ass Lvl Cod Txt [ISO 19650-3:2020]
ASS_LVL_ELEM_ID_INT,1,universal,<ALL>,Level element ID for stale detection
ASS_MAINTENANCE_FREQUENCY_MONTHS,1,asset-universal,<ALL>,Ass Maintenance Frequency Months [ISO 19650-3:2020]
ASS_MAINTENANCE_SCHEDULE_TXT,1,asset-universal,<ALL>,Ass Maintenance Schedule Txt [ISO 19650-3:2020]
ASS_MAINT_INTERVAL_TXT,1,asset-universal,<ALL>,Maintenance interval schedule
ASS_MAINT_NEXT_TXT,1,asset-universal,<ALL>,Next maintenance date
ASS_MANUFACTURER_TXT,1,universal,<ALL>,Ass Manufacturer Txt [ISO 19650-3:2020]
ASS_MATERIAL_TXT,1,asset-universal,<ALL>,Asset material description [COBie V2.4]
ASS_MEP_SYS_NAME_TXT,1,asset-universal,<ALL>,MEP system name from Revit MEP System API
ASS_MODEL_NR_TXT,1,universal,<ALL>,Ass Model Nr Txt [ISO 19650-3:2020]
ASS_MODEL_REF_TXT,1,universal,<ALL>,Model reference identifier [COBie V2.4]
ASS_NOM_HEIGHT_TXT,1,asset-universal,<ALL>,Nominal height [COBie V2.4]
ASS_NOM_LENGTH_TXT,1,asset-universal,<ALL>,Nominal length [COBie V2.4]
ASS_NOM_WIDTH_TXT,1,asset-universal,<ALL>,Nominal width [COBie V2.4]
ASS_NOTES_TXT,1,asset-universal,<ALL>,General notes field for element-level annotations
ASS_NRM2_PARA_AUTHOR_TXT,1,asset-universal,<ALL>,Author who last updated the NRM2 paragraph [ISO 19650-3:2020]
ASS_NRM2_PARA_DATE_TXT,1,asset-universal,<ALL>,Date NRM2 paragraph was last updated [ISO 19650-3:2020]
ASS_NRM2_PARA_PREV_TXT,1,asset-universal,<ALL>,Previous NRM2 paragraph (for audit trail) [ISO 19650-3:2020]
ASS_NRM2_PARA_TXT,1,asset-universal,<ALL>,"Resolved NRM2 BOQ paragraph, all tokens substituted [ISO 19650-3:2020]"
ASS_NRM_CODE_TXT,1,asset-universal,<ALL>,NRM classification code
ASS_NUMBER_OF_DAT_OUTLETS_INT,1,asset-universal,<ALL>,Ass Number Of Dat Outlets Int [ISO 19650-3:2020]
ASS_NUMBER_OF_PWR_OUTLETS_INT,1,asset-universal,<ALL>,Ass Number Of Pwr Outlets Int [ISO 19650-3:2020]
ASS_OANDM_MANUALS_PROVIDED_TXT,1,asset-universal,<ALL>,Ass Oandm Manuals Provided Txt [ISO 19650-3:2020]
ASS_OMNICLASS_TXT,1,asset-universal,<ALL>,OmniClass classification code
ASS_OPTION_PRIMARY_BOOL,1,asset-universal,<ALL>,Element lives in a primary design option [Design Options]
ASS_OPTION_SET_TXT,1,asset-universal,<ALL>,Design option set name carried on the element [Design Options]
ASS_ORIGINATOR_COD_TXT,17,asset-universal,<ALL>,
ASS_ORIGIN_TXT,1,asset-universal,<ALL>,Asset origin (Manufactured/Imported/Local)
ASS_PART_NUMBER_TXT,1,asset-universal,<ALL>,Ass Part Number Txt [ISO 19650-3:2020]
ASS_PHASE_CREATED_TXT,1,asset-universal,<ALL>,Revit phase in which element was created
ASS_PHASE_DEMOLISHED_TXT,1,asset-universal,<ALL>,Revit phase in which element is demolished
ASS_PLACE_ANCHOR_TXT,1,asset-universal,<ALL>,"Anchor reference used by FixturePlacementEngine (e.g. DOOR_HINGE, ROOM_CENTRE, WALL_MIDPOINT)"
ASS_PLACE_OFFSET_X_MM,1,asset-universal,<ALL>,Signed horizontal offset from placement anchor in millimetres
ASS_PLACE_SIDE_TXT,1,asset-universal,<ALL>,Wall or host side constraint (LEFT / RIGHT / EITHER)
ASS_PMT_CERT_DATE_DT,2,asset-universal,<ALL>,ISO 8601 date of the payment certificate valuation [Phase 184g / P5]
ASS_PMT_CERT_NO_NR,2,asset-universal,<ALL>,Payment certificate number this line item was last valued in [Phase 184g / P5]
ASS_PMT_CERT_NO_NR_DISP_TXT,2,asset-universal,<ALL>,Payment certificate number this line item was last valued in — TEXT display mirror for tag labels
ASS_PMT_CST_LABOUR_CST_UGX_NR,1,asset-universal,<ALL>,Ass Pmt Cst Labour Cst Ugx Nr [ISO 19650-3:2020]
ASS_PMT_CST_MAT_CST_UGX_NR,1,asset-universal,<ALL>,Ass Pmt Cst Mat Cst Ugx Nr [ISO 19650-3:2020]
ASS_PMT_CST_TOTAL_CST_UGX_NR,1,asset-universal,<ALL>,Ass Pmt Cst Total Cst Ugx Nr [ISO 19650-3:2020]
ASS_PMT_CST_UNIT_RATE_UGX_NR,1,asset-universal,<ALL>,Ass Pmt Cst Unit Rate Ugx Nr [ISO 19650-3:2020]
ASS_PMT_INV_UNIT_TXT,1,asset-universal,<ALL>,Ass Pmt Inv Unit Txt [ISO 19650-3:2020]
ASS_PMT_LAST_VALUED_DT,2,asset-universal,<ALL>,ISO 8601 timestamp the line item was last valued by PaymentCertEngine [Phase 184g / P5]
ASS_PMT_PCT_COMPLETE_NR,2,asset-universal,<ALL>,Per-element percent complete (0-100) driving payment certificate valuation [Phase 184g / P5]
ASS_PMT_PCT_COMPLETE_NR_DISP_TXT,2,asset-universal,<ALL>,Per-element percent complete (0-100) driving payment certificate valuation — TEXT display mirror for tag labels
ASS_PMT_PRO_DELIVERY_DATE_TXT,1,asset-universal,<ALL>,Ass Pmt Pro Delivery Date Txt [ISO 19650-3:2020]
ASS_PMT_PRO_PO_NR_TXT,1,asset-universal,<ALL>,Ass Pmt Pro Po Nr Txt [ISO 19650-3:2020]
ASS_PMT_PRO_SUPPLIER_TXT,1,asset-universal,<ALL>,Ass Pmt Pro Supplier Txt [ISO 19650-3:2020]
ASS_PMT_QTY_ORDERED_NR,1,asset-universal,<ALL>,Ass Pmt Qty Ordered Nr [ISO 19650-3:2020]
ASS_POWER_RATING_TXT,4,asset-universal,<ALL>,Electrical power rating (kW/VA)
ASS_PRODCT_COD_TXT,1,universal,<ALL>,Ass Prodct Cod Txt [ISO 19650-3:2020]
ASS_PROD_DETECT_TXT,1,universal,<ALL>,PROD code detection source
ASS_PROD_PATTERN_SRC_TXT,1,universal,<ALL>,PROD pattern match source family name
ASS_PROJECT_COD_TXT,17,asset-universal,<ALL>,
ASS_PROJECT_TXT,1,asset-universal,<ALL>,Project name
ASS_QA_CERT_TXT,4,asset-universal,<ALL>,QA certificate reference [ISO 19650-2:2018]
ASS_QA_TEST_REPORT_TXT,4,asset-universal,<ALL>,QA test report reference [ISO 19650-2:2018]
ASS_QC_INSPECTOR_TXT,1,asset-universal,<ALL>,Name or ID of QC inspector who released the assembly
ASS_REV_COD_TXT,17,asset-universal,<ALL>,ISO 19650 revision code token in the tag container system (GROUP 17). Written by the tag pipeline. See also ASS_REV_TXT (GROUP 1) for the display revision label.
ASS_REV_TXT,1,asset-universal,<ALL>,"Current revision code (display label, GROUP 1). See also ASS_REV_COD_TXT (GROUP 17) for the ISO 19650 tag container token."
ASS_RM_COD_TXT,1,asset-universal,<ALL>,Ass Rm Cod Txt [ISO 19650-1:2018]
ASS_ROOM_AREA_SQ_M,1,asset-universal,<ALL>,Ass Room Area Sq M [ISO 19650-3:2020]
ASS_ROOM_FUNCTION_USE_TXT,1,asset-universal,<ALL>,Ass Room Function Use Txt [ISO 19650-3:2020]
ASS_ROOM_HEIGHT_MM,10,asset-universal,<ALL>,Room height in mm from room bounding geometry
ASS_ROOM_NAME_TXT,1,asset-universal,<ALL>,Room name from spatial lookup
ASS_ROOM_NUM_TXT,1,asset-universal,<ALL>,Room number from spatial lookup
ASS_ROOM_VOLUME_CU_M,1,asset-universal,<ALL>,Ass Room Volume Cu M [ISO 19650-3:2020]
ASS_SEQ_NUM_TXT,1,universal,<ALL>,Spare parameter 2 for ASS_MNG group
ASS_SERIAL_NR_TXT,1,asset-universal,<ALL>,Ass Serial Nr Txt [ISO 19650-3:2020]
ASS_SHAPE_TXT,1,asset-universal,<ALL>,Asset shape description [COBie V2.4]
ASS_SHIP_DATE_TXT,1,asset-universal,<ALL>,ISO 8601 date when assembly was shipped to site
ASS_SIZE_TXT,1,asset-universal,<ALL>,Element size description
ASS_SKIRTING_TYPE_TXT,1,asset-universal,<ALL>,Ass Skirting Type Txt [ISO 19650-3:2020]
ASS_SPOOL_DRAWING_REF_TXT,1,asset-universal,<ALL>,Reference to the generated shop / spool drawing sheet number
ASS_SPOOL_NR_TXT,1,asset-universal,<ALL>,Spool or bundle number assigned by AssemblyBuilder
ASS_STALE_TOKENS_TXT,18,asset-universal,<ALL>,Comma-separated list of stale token names for targeted re-derivation
ASS_STATUS_TXT,1,universal,<ALL>,Ass Status Txt [ISO 19650-3:2020]
ASS_SUPPLIER_TXT,1,asset-universal,<ALL>,Asset supplier name [COBie V2.4]
ASS_SUPPORT_COUNT_NR,1,asset-universal,<ALL>,Number of supports / hangers referenced by the assembly
ASS_SUSTAIN_PERF_TXT,1,asset-universal,<ALL>,Sustainability performance rating [COBie V2.4]
ASS_SYSTEMS_TXT,1,universal,<ALL>,Pipe/duct systems this element connects to (pipe-delimited)
ASS_SYSTEM_TYPE_TXT,1,universal,<ALL>,Ass System Type Txt [ISO 19650-3:2020]
ASS_SYS_DETECT_LAYER_INT,1,universal,<ALL>,"SYS detection layer (1=MEP API, 2=Connector, 3=Proximity, 4=Category)"
ASS_TAG_1_TXT,1,universal,<ALL>,Ass Tag 1 Txt [ISO 19650-3:2020]
ASS_TAG_2_TXT,1,universal,<ALL>,Ass Tag 2 Txt [ISO 19650-3:2020]
ASS_TAG_3D_TXT,1,universal,<ALL>,3D view tag text
ASS_TAG_3_TXT,1,universal,<ALL>,Ass Tag 3 Txt [ISO 19650-3:2020]
ASS_TAG_4_TXT,1,universal,<ALL>,Ass Tag 3 Txt [ISO 19650-3:2020]
ASS_TAG_5_TXT,1,universal,<ALL>,Ass Tag 3 Txt [ISO 19650-3:2020]
ASS_TAG_6_TXT,1,universal,<ALL>,Ass Tag 3 Txt [ISO 19650-3:2020]
ASS_TAG_7A_TXT,1,universal,<ALL>,TAG7 Section A: Identity Header
ASS_TAG_7B_TXT,1,universal,<ALL>,TAG7 Section B: System and Function
ASS_TAG_7C_TXT,1,universal,<ALL>,TAG7 Section C: Spatial Context
ASS_TAG_7D_TXT,1,universal,<ALL>,TAG7 Section D: Lifecycle and Status
ASS_TAG_7E_TXT,1,universal,<ALL>,TAG7 Section E: Technical Specifications
ASS_TAG_7F_TXT,1,universal,<ALL>,TAG7 Section F: Classification and Reference
ASS_TAG_7_PARA_EQUIPMENT_TXT,1,universal,<ALL>,Specialty equipment paragraph [ISO 19650-3:2020]
ASS_TAG_7_PARA_EQUIP_TXT,1,universal,<ALL>,TAG7 paragraph container for general equipment
ASS_TAG_7_TXT,1,universal,<ALL>,TAG7 comprehensive descriptive narrative
ASS_TAG_MODIFIED_BY_TXT,1,universal,<ALL>,Ass Tag Modified By [ISO 19650]
